Gene,Result
RAB3GAP2,Results: 2 books (35 items)
REEP1,Results: 3 books (31 items)
RNASEH2B,Results: 3 books (49 items)
RPE65,Results: 17 books (180 items)
RYR1,Results: 1 to 20 of 44 books (175 items)
RYR2,Results: 1 to 20 of 42 books (172 items)
SACS,Results: 1 to 20 of 131 books (715 items)
SATB2,Results: 7 books (40 items)
SCN1A,Results: 1 to 20 of 28 books (178 items)
SCN2A,Results: 15 books (72 items)
SCN8A,Results: 9 books (62 items)
SEPSECS,Results: 4 books (16 items)
SETBP1,Results: 8 books (48 items)
SETD2,Results: 9 books (59 items)
SETD5,Results: 2 books (4 items)
SHANK3,Results: 18 books (73 items)
SHOC2,Results: 3 books (19 items)
SIL1,Results: 4 books (61 items)
SIN3A,Results: 9 books (14 items)
SLC13A5,Element not found
SLC16A2,Results: 7 books (61 items)
SLC1A2,Results: 8 books (12 items)
SLC1A4,Element not found
SLC2A1,Results: 15 books (76 items)
SLC6A3,Results: 15 books (61 items)
SMARCA2,Results: 5 books (40 items)
SMARCB1,Results: 11 books (159 items)
SNAP29,Results: 3 books (14 items)
SON,Results: 1 to 20 of 2004 books (7688 items)
SOX2,Results: 1 to 20 of 44 books (259 items)
SPAST,Results: 4 books (53 items)
SPATA5,Element not found
SPG11,Results: 3 books (75 items)
SPR,Results: 1 to 20 of 136 books (426 items)
SPTAN1,Results: 6 books (16 items)
STAMBP,Results: 2 books (22 items)
STAT3,Results: 1 to 20 of 86 books (428 items)
STXBP1,Results: 5 books (45 items)
SUMF1,Results: 5 books (50 items)
SYNE1,Results: 6 books (46 items)
SYNGAP1,Results: 6 books (35 items)
TAF1,Results: 8 books (56 items)
TANGO2,Element not found
TBCK,Results: 3 books (12 items)
TBL1XR1,Results: 4 books (6 items)
TCF4,Results: 1 to 20 of 23 books (88 items)
TELO2,Element not found
TOE1,Element not found
TPP1,Results: 13 books (84 items)
TRAPPC9,Results: 3 books (13 items)
TREX1,Results: 8 books (102 items)
TRIP12,Element not found
TSEN54,Results: 2 books (44 items)
TUBA1A,Results: 5 books (49 items)
TUBB2A,Element not found
TUBB2B,Results: 3 books (57 items)
TUBB3,Results: 8 books (63 items)
TUBB4A,Results: 2 books (48 items)
UBA5,Element not found
UBE3A,Results: 16 books (116 items)
UPF3B,Results: 3 books (17 items)
USP9X,Results: 4 books (14 items)
VPS11,Results: 2 books (4 items)
WAC,Results: 1 to 20 of 23 books (99 items)
WDR26,Element not found
WDR45,Results: 2 books (67 items)
WWOX,Results: 5 books (16 items)
YY1,Results: 19 books (82 items)
ZC4H2,Results: 2 books (7 items)
ZDHHC9,Results: 2 books (12 items)
ZEB2,Results: 14 books (78 items)
ZNF423,Results: 3 books (49 items)
